#Table1
type,ra,dec,psfMag_r,psfMagErr_r,extinction_r,clean
6,183.756460617973,32.0389266037839,15.70749,0.0116141,0.02991652,1
6,183.757682150763,31.962301542468,18.18539,0.01289638,0.03041194,1
6,183.7562006972,32.0099730644758,20.3382,0.02594848,0.02967588,1
6,183.757253809737,31.9685672047834,20.35392,0.02625336,0.0302475,1
6,183.758503785198,31.9941929495801,21.73775,0.07298892,0.02952171,1
6,183.756859979467,31.9077375393861,22.83482,0.1863339,0.03234947,1
6,183.871120393075,32.0142447895786,19.05344,0.01400591,0.02898622,1
6,183.872795975845,31.9522640302523,23.17751,0.2593077,0.03042412,1
6,183.872270561648,31.9517033542002,23.30576,0.3060997,0.03043715,1
6,183.869936610579,31.8664801125581,21.98368,0.08926495,0.03158405,1
6,183.872902231751,32.0284914353245,22.8567,0.189352,0.02894396,1
6,183.988621268917,31.8972238464785,22.66715,0.1598622,0.0298637,1
6,184.111672106044,31.9515715599924,21.68011,0.07377386,0.03508339,1
6,184.112007637628,31.986496090662,22.6708,0.16244,0.035523,1
6,183.758485506616,31.7828247753188,21.58731,0.07863689,0.03748946,1
6,183.757901379505,31.7946139430951,22.03668,0.1134646,0.03716567,1
6,183.871351433221,31.824639177751,22.41735,0.1550022,0.03281233,1
6,183.87231123679,31.8567516432581,20.40002,0.03580036,0.03159025,1
6,183.988895090058,31.8012843322148,22.31689,0.1658296,0.03420563,1
6,183.988941335268,31.8585922438704,19.80472,0.02978057,0.03039217,1
6,183.991177092931,31.8275103348698,22.49604,0.1635164,0.03222413,1
6,184.111908739854,31.7908475398557,21.69286,0.08255377,0.03689384,1
6,183.758731966215,32.2284530071724,22.67918,0.2040203,0.02733,1
6,183.759024268653,32.1169829316947,21.14197,0.0602946,0.02925769,1
6,183.757451996398,32.1648189026405,22.61587,0.1770516,0.0276961,1
6,183.873089534321,32.2084155322408,22.10759,0.1171262,0.03134439,1
6,183.988814777017,32.2446498255579,19.00093,0.01694027,0.03490289,1
6,183.989521086324,32.1852544548098,22.77135,0.2055715,0.03381847,1
6,184.110290433966,32.0909329080973,18.80083,0.01673164,0.03246344,1
6,184.11248454758,32.1781747064666,20.29563,0.0286083,0.03242332,1
6,184.111038490816,32.1469440513627,21.57288,0.07288378,0.0316937,1
6,184.111855829952,32.1893449305904,21.23749,0.05566186,0.03275789,1
6,184.110682814262,32.2352333623176,22.66555,0.187149,0.03460667,1
6,184.112837374678,31.9512071408306,20.97926,0.04552326,0.03509681,1
6,184.113093346039,31.775436014956,20.84024,0.04248757,0.0374742,1
6,184.112839471982,32.1806056297398,22.46459,0.1568127,0.03248546,1
6,183.775373580014,32.0063807180125,19.55614,0.01761956,0.02929799,1
6,184.008333973408,31.9446762009867,19.42714,0.01789675,0.03269013,1
6,184.006214197397,31.9383992009789,22.1397,0.1418614,0.03217783,1
6,184.005925847377,32.0469733310984,16.33963,0.01048814,0.03672302,1
6,184.008541718637,32.0483777970752,23.03525,0.2334776,0.03676738,1
6,183.888567081396,31.9697906984804,22.30338,0.1171195,0.03001571,1
6,183.889193744547,32.0055512721803,21.91551,0.08467887,0.02950734,1
6,184.005367559049,32.0109926418298,22.78296,0.176963,0.0362262,1
6,184.006225091241,32.0616192259045,22.72178,0.167905,0.03659404,1
6,184.120877473037,31.9438292634891,20.55952,0.03276293,0.03499274,1
