#Table2
type,ra,dec,psfMag_r,psfMagErr_r,extinction_r
6,317.78889329673,0.429218836549531,23.09999,0.2229502,0.2938004
6,317.845799115151,0.438088324345549,19.96943,0.01769365,0.292781
6,317.847369436112,0.438893510412735,23.15431,0.209963,0.2927576
6,317.788244047094,0.437990834770723,21.1628,0.04028012,0.2944151
6,317.880281457679,0.439109516330659,21.98111,0.07745281,0.2903921
6,317.989868140697,0.442015025851479,18.1377,0.009194456,0.2848808
6,318.058022655483,0.424329861929121,15.3944,0.001898131,0.3002475
6,317.990385534649,0.433235025951397,20.98012,0.0344405,0.2837863
6,318.057443180125,0.428093751377614,21.73119,0.06243958,0.3004018
6,318.126658547343,0.440213059607431,24.5219,0.5919844,0.3240041
6,318.193898964664,0.435888800829122,18.99691,0.0132354,0.3451352
6,318.195502736099,0.426143388108221,19.49759,0.01506259,0.3458494
6,317.788812191227,0.322283731713692,23.12181,0.2848192,0.2916779
6,317.787777127546,0.25271517148981,24.20928,0.4718261,0.2927263
6,317.787669604143,0.355965098504749,21.09787,0.04878974,0.2923142
6,317.788803767045,0.266838454120068,20.67476,0.03337824,0.2922884
6,317.787872432737,0.293333143164131,22.94543,0.4346662,0.2921528
6,317.812962824355,0.33220122130948,24.23388,0.7943416,0.2881531
6,317.813227088205,0.321844097541851,21.96675,0.2595453,0.2875323
6,317.845644647335,0.394554764196537,23.38799,0.2884201,0.2898545
6,317.845799618503,0.408477532241603,24.96625,0.5339964,0.2909027
6,317.879265880251,0.317182596997772,23.29148,0.2536336,0.2811968
6,317.812589351227,0.30412255638171,18.67311,0.01514308,0.2866924
6,317.813384143721,0.250864144207713,18.6201,0.01502407,0.2907785
6,317.814038591089,0.405438492290106,19.11235,0.01647886,0.2919608
6,317.937559046003,0.292608999435158,22.35021,0.1147288,0.2830026
6,317.93733780857,0.293263912126928,23.02926,0.6692174,0.282988
6,317.937515143845,0.402869259338406,18.33391,0.01460725,0.2827592
6,317.845627451411,0.333231418284448,20.06994,0.03975856,0.2843305
6,317.812138809564,0.266175013221121,20.41728,0.02680225,0.2884649
6,317.812669413367,0.25490135046698,21.62807,0.06294243,0.2898476
